name,acronym,AP_location,DV_location,ML_location,avIndex
Parvicellular reticular nucleus,PARN,-6.12,5.55,-1,989
Intermediate reticular nucleus,IRN,-6.12,5.97,-0.98,979
Intermediate reticular nucleus,IRN,-6.12,5.52,-0.96,979
Intermediate reticular nucleus,IRN,-6.12,5.55,-0.93,979
Intermediate reticular nucleus,IRN,-6.12,5.52,-0.91,979
Intermediate reticular nucleus,IRN,-6.12,5.56,-0.9,979
Paragigantocellular reticular nucleus lateral part,PGRNl,-6.12,6.66,-0.88,993
Intermediate reticular nucleus,IRN,-6.12,6.08,-0.88,979
Intermediate reticular nucleus,IRN,-6.12,5.53,-0.84,979
Intermediate reticular nucleus,IRN,-6.12,5.95,-0.84,979
Paragigantocellular reticular nucleus lateral part,PGRNl,-6.12,6.73,-0.84,993
Intermediate reticular nucleus,IRN,-6.12,5.78,-0.81,979
Paragigantocellular reticular nucleus lateral part,PGRNl,-6.12,6.89,-0.82,993
Intermediate reticular nucleus,IRN,-6.12,5.7,-0.78,979
Paragigantocellular reticular nucleus lateral part,PGRNl,-6.12,6.8,-0.79,993
Intermediate reticular nucleus,IRN,-6.12,6.02,-0.78,979
Intermediate reticular nucleus,IRN,-6.12,6.08,-0.77,979
Intermediate reticular nucleus,IRN,-6.12,5.64,-0.74,979
Paragigantocellular reticular nucleus lateral part,PGRNl,-6.12,6.73,-0.74,993
Intermediate reticular nucleus,IRN,-6.12,5.67,-0.72,979
Intermediate reticular nucleus,IRN,-6.12,6.16,-0.73,979
Medulla,MY,-6.12,5.31,-0.69,936
Intermediate reticular nucleus,IRN,-6.12,5.58,-0.69,979
Intermediate reticular nucleus,IRN,-6.12,5.78,-0.65,979
Intermediate reticular nucleus,IRN,-6.12,5.72,-0.62,979
Gigantocellular reticular nucleus,GRN,-6.12,6.7,-0.61,976
Gigantocellular reticular nucleus,GRN,-6.12,6.51,-0.6,976
Magnocellular reticular nucleus,MARN,-6.12,6.9,-0.55,985
Magnocellular reticular nucleus,MARN,-6.12,6.7,-0.49,985
Magnocellular reticular nucleus,MARN,-6.12,6.9,-0.46,985
Magnocellular reticular nucleus,MARN,-6.12,6.97,-0.45,985
Paragigantocellular reticular nucleus dorsal part,PGRNd,-6.12,5.51,-0.43,992
Magnocellular reticular nucleus,MARN,-6.12,6.63,-0.37,985
Paragigantocellular reticular nucleus dorsal part,PGRNd,-6.12,5.36,-0.34,992
Gigantocellular reticular nucleus,GRN,-6.12,6.47,-0.27,976
Paragigantocellular reticular nucleus dorsal part,PGRNd,-6.12,5.36,-0.26,992
Paragigantocellular reticular nucleus dorsal part,PGRNd,-6.12,5.34,-0.24,992
Paragigantocellular reticular nucleus dorsal part,PGRNd,-6.12,5.35,-0.18,992
Paragigantocellular reticular nucleus dorsal part,PGRNd,-6.12,5.41,-0.14,992
Medulla,MY,-6.12,5.51,-0.15,936
Medulla,MY,-6.12,5.3,-0.12,936
medial longitudinal fascicle,mlf,-6.12,5.31,-0.08,1121
Medulla,MY,-6.12,5.31,-0.02,936
Paragigantocellular reticular nucleus dorsal part,PGRNd,-6.12,5.5,0.17,992
Gigantocellular reticular nucleus,GRN,-6.12,6.43,0.2,976
Paragigantocellular reticular nucleus dorsal part,PGRNd,-6.12,5.43,0.27,992
Magnocellular reticular nucleus,MARN,-6.12,6.83,0.25,985
Paragigantocellular reticular nucleus dorsal part,PGRNd,-6.12,5.38,0.27,992
Paragigantocellular reticular nucleus dorsal part,PGRNd,-6.12,5.42,0.32,992
Paragigantocellular reticular nucleus dorsal part,PGRNd,-6.12,5.38,0.38,992
Paragigantocellular reticular nucleus dorsal part,PGRNd,-6.12,5.45,0.36,992
Magnocellular reticular nucleus,MARN,-6.12,6.9,0.37,985
Paragigantocellular reticular nucleus dorsal part,PGRNd,-6.12,5.34,0.41,992
Paragigantocellular reticular nucleus dorsal part,PGRNd,-6.12,5.49,0.4,992
Magnocellular reticular nucleus,MARN,-6.12,6.85,0.41,985
Gigantocellular reticular nucleus,GRN,-6.12,6.3,0.43,976
Magnocellular reticular nucleus,MARN,-6.12,6.66,0.41,985
Gigantocellular reticular nucleus,GRN,-6.12,5.57,0.47,976
Gigantocellular reticular nucleus,GRN,-6.12,6.68,0.54,976
Medial vestibular nucleus,MV,-6.12,5.22,0.54,1004
Gigantocellular reticular nucleus,GRN,-6.12,6.55,0.55,976
Intermediate reticular nucleus,IRN,-6.12,5.39,0.57,979
Gigantocellular reticular nucleus,GRN,-6.12,6.81,0.63,976
Gigantocellular reticular nucleus,GRN,-6.12,6.44,0.66,976
Magnocellular reticular nucleus,MARN,-6.12,6.92,0.67,985
Intermediate reticular nucleus,IRN,-6.12,5.8,0.68,979
Intermediate reticular nucleus,IRN,-6.12,5.71,0.74,979
Intermediate reticular nucleus,IRN,-6.12,5.57,0.74,979
Intermediate reticular nucleus,IRN,-6.12,6.19,0.73,979
Intermediate reticular nucleus,IRN,-6.12,5.91,0.74,979
Intermediate reticular nucleus,IRN,-6.12,5.8,0.76,979
Intermediate reticular nucleus,IRN,-6.12,5.52,0.78,979
Intermediate reticular nucleus,IRN,-6.12,5.6,0.78,979
Intermediate reticular nucleus,IRN,-6.12,5.69,0.78,979
Intermediate reticular nucleus,IRN,-6.12,5.86,0.77,979
Paragigantocellular reticular nucleus lateral part,PGRNl,-6.12,6.8,0.79,993
Intermediate reticular nucleus,IRN,-6.12,5.45,0.81,979
Intermediate reticular nucleus,IRN,-6.12,5.59,0.83,979
Intermediate reticular nucleus,IRN,-6.12,5.48,0.83,979
Paragigantocellular reticular nucleus lateral part,PGRNl,-6.12,6.74,0.84,993
Intermediate reticular nucleus,IRN,-6.12,5.65,0.86,979
Intermediate reticular nucleus,IRN,-6.12,6.09,0.86,979
Paragigantocellular reticular nucleus lateral part,PGRNl,-6.12,6.8,0.85,993
Intermediate reticular nucleus,IRN,-6.12,5.52,0.87,979
Intermediate reticular nucleus,IRN,-6.12,5.62,0.88,979
Intermediate reticular nucleus,IRN,-6.12,5.56,0.88,979
Intermediate reticular nucleus,IRN,-6.12,6.49,0.91,979
Intermediate reticular nucleus,IRN,-6.12,5.67,0.92,979
Intermediate reticular nucleus,IRN,-6.12,5.88,0.93,979
Intermediate reticular nucleus,IRN,-6.12,6.14,0.94,979
Intermediate reticular nucleus,IRN,-6.12,6.57,0.93,979
Intermediate reticular nucleus,IRN,-6.12,6.63,0.93,979
Intermediate reticular nucleus,IRN,-6.12,5.95,0.96,979
Medial vestibular nucleus,MV,-6.12,5.21,0.99,1004
Intermediate reticular nucleus,IRN,-6.12,5.8,0.99,979
Nucleus of the solitary tract,NTS,-6.12,5.32,0.99,949
Intermediate reticular nucleus,IRN,-6.12,6.04,1.01,979
Fastigial nucleus,FN,-6.12,4.09,1.02,1098
Intermediate reticular nucleus,IRN,-6.12,5.71,1.03,979
Intermediate reticular nucleus,IRN,-6.12,6.21,1.04,979
Fastigial nucleus,FN,-6.12,3.91,1.08,1098
Intermediate reticular nucleus,IRN,-6.12,5.91,1.09,979
Intermediate reticular nucleus,IRN,-6.12,6.18,1.09,979
Intermediate reticular nucleus,IRN,-6.12,5.95,1.12,979
Intermediate reticular nucleus,IRN,-6.12,6.13,1.12,979
Intermediate reticular nucleus,IRN,-6.12,6.26,1.13,979
Intermediate reticular nucleus,IRN,-6.12,5.96,1.15,979
Nucleus of the solitary tract,NTS,-6.12,5.26,1.16,949
Intermediate reticular nucleus,IRN,-6.12,6.05,1.15,979
Parvicellular reticular nucleus,PARN,-6.12,5.8,1.17,989
Parvicellular reticular nucleus,PARN,-6.12,5.57,1.18,989
Spinal vestibular nucleus,SPIV,-6.12,4.95,1.18,1005
Parvicellular reticular nucleus,PARN,-6.12,5.76,1.22,989
Intermediate reticular nucleus,IRN,-6.12,6.12,1.21,979
Intermediate reticular nucleus,IRN,-6.12,6.38,1.21,979
Parvicellular reticular nucleus,PARN,-6.12,5.84,1.23,989
Intermediate reticular nucleus,IRN,-6.12,6.52,1.23,979
Parvicellular reticular nucleus,PARN,-6.12,5.71,1.26,989
Intermediate reticular nucleus,IRN,-6.12,6.28,1.28,979
Intermediate reticular nucleus,IRN,-6.12,6.18,1.3,979
Parvicellular reticular nucleus,PARN,-6.12,5.81,1.31,989
Intermediate reticular nucleus,IRN,-6.12,6.37,1.3,979
Intermediate reticular nucleus,IRN,-6.12,6.35,1.33,979
Parvicellular reticular nucleus,PARN,-6.12,6.16,1.34,989
Intermediate reticular nucleus,IRN,-6.12,6.45,1.34,979
Intermediate reticular nucleus,IRN,-6.12,6.46,1.38,979
Parvicellular reticular nucleus,PARN,-6.12,6.34,1.52,989
Spinal nucleus of the trigeminal oral part,SPVO,-6.12,5.44,1.6,957
Parvicellular reticular nucleus,PARN,-6.2,5.91,-1.54,989
Parvicellular reticular nucleus,PARN,-6.2,6.51,-1.54,989
Parvicellular reticular nucleus,PARN,-6.2,6.25,-1.51,989
Spinal vestibular nucleus,SPIV,-6.2,5.23,-1.5,1005
Parvicellular reticular nucleus,PARN,-6.2,6.4,-1.49,989
Parvicellular reticular nucleus,PARN,-6.2,5.71,-1.42,989
Nucleus of the solitary tract,NTS,-6.2,5.26,-1.41,949
Intermediate reticular nucleus,IRN,-6.2,6.45,-1.39,979
Parvicellular reticular nucleus,PARN,-6.2,6.29,-1.35,989
Intermediate reticular nucleus,IRN,-6.2,6.39,-1.33,979
Parvicellular reticular nucleus,PARN,-6.2,5.99,-1.3,989
Parvicellular reticular nucleus,PARN,-6.2,6.09,-1.3,989
Intermediate reticular nucleus,IRN,-6.2,6.35,-1.29,979
Nucleus of the solitary tract,NTS,-6.2,5.44,-1.29,949
Intermediate reticular nucleus,IRN,-6.2,6.2,-1.29,979
Parvicellular reticular nucleus,PARN,-6.2,6.04,-1.28,989
Intermediate reticular nucleus,IRN,-6.2,6.52,-1.28,979
Intermediate reticular nucleus,IRN,-6.2,6.17,-1.25,979
Nucleus of the solitary tract,NTS,-6.2,5.37,-1.24,949
Intermediate reticular nucleus,IRN,-6.2,6.21,-1.23,979
Parvicellular reticular nucleus,PARN,-6.2,5.66,-1.21,989
Parvicellular reticular nucleus,PARN,-6.2,5.84,-1.21,989
Parvicellular reticular nucleus,PARN,-6.2,5.89,-1.21,989
Parvicellular reticular nucleus,PARN,-6.2,5.94,-1.21,989
Intermediate reticular nucleus,IRN,-6.2,6.36,-1.21,979
Intermediate reticular nucleus,IRN,-6.2,6.32,-1.2,979
Intermediate reticular nucleus,IRN,-6.2,6.49,-1.17,979
Intermediate reticular nucleus,IRN,-6.2,6.23,-1.15,979
Parvicellular reticular nucleus,PARN,-6.2,5.67,-1.13,989
Intermediate reticular nucleus,IRN,-6.2,5.89,-1.12,979
Parvicellular reticular nucleus,PARN,-6.2,5.54,-1.1,989
Parvicellular reticular nucleus,PARN,-6.2,5.62,-1.09,989
Intermediate reticular nucleus,IRN,-6.2,6.02,-1.08,979
Parvicellular reticular nucleus,PARN,-6.2,5.45,-1.07,989
Intermediate reticular nucleus,IRN,-6.2,5.83,-1.06,979
Intermediate reticular nucleus,IRN,-6.2,5.9,-1.05,979
Parvicellular reticular nucleus,PARN,-6.2,5.58,-1.03,989
Intermediate reticular nucleus,IRN,-6.2,6.52,-1.04,979
Parvicellular reticular nucleus,PARN,-6.2,5.65,-1.03,989
Intermediate reticular nucleus,IRN,-6.2,6.1,-1.03,979
Parvicellular reticular nucleus,PARN,-6.2,5.49,-1.02,989
Nucleus of the solitary tract,NTS,-6.2,5.33,-1.01,949
Nucleus of the solitary tract,NTS,-6.2,5.39,-1.01,949
Intermediate reticular nucleus,IRN,-6.2,5.73,-0.99,979
Intermediate reticular nucleus,IRN,-6.2,6.17,-0.97,979
Intermediate reticular nucleus,IRN,-6.2,6.58,-0.97,979
Intermediate reticular nucleus,IRN,-6.2,5.51,-0.92,979
Intermediate reticular nucleus,IRN,-6.2,6.5,-0.95,979
Intermediate reticular nucleus,IRN,-6.2,5.78,-0.93,979
Medial vestibular nucleus,MV,-6.2,4.79,-0.91,1004
Intermediate reticular nucleus,IRN,-6.2,6.13,-0.92,979
Intermediate reticular nucleus,IRN,-6.2,5.87,-0.9,979
Intermediate reticular nucleus,IRN,-6.2,5.97,-0.9,979
Intermediate reticular nucleus,IRN,-6.2,5.79,-0.88,979
Intermediate reticular nucleus,IRN,-6.2,5.41,-0.87,979
Intermediate reticular nucleus,IRN,-6.2,6.02,-0.86,979
Intermediate reticular nucleus,IRN,-6.2,5.51,-0.86,979
Intermediate reticular nucleus,IRN,-6.2,5.69,-0.86,979
Intermediate reticular nucleus,IRN,-6.2,5.76,-0.86,979
Paragigantocellular reticular nucleus lateral part,PGRNl,-6.2,6.79,-0.86,993
Intermediate reticular nucleus,IRN,-6.2,5.57,-0.84,979
Intermediate reticular nucleus,IRN,-6.2,5.64,-0.84,979
Paragigantocellular reticular nucleus lateral part,PGRNl,-6.2,6.84,-0.84,993
Paragigantocellular reticular nucleus lateral part,PGRNl,-6.2,6.89,-0.83,993
Medial vestibular nucleus,MV,-6.2,4.85,-0.8,1004
Paragigantocellular reticular nucleus lateral part,PGRNl,-6.2,6.88,-0.78,993
Intermediate reticular nucleus,IRN,-6.2,5.42,-0.76,979
Intermediate reticular nucleus,IRN,-6.2,5.54,-0.76,979
Intermediate reticular nucleus,IRN,-6.2,5.59,-0.76,979
Intermediate reticular nucleus,IRN,-6.2,5.9,-0.76,979
Intermediate reticular nucleus,IRN,-6.2,5.7,-0.74,979
Intermediate reticular nucleus,IRN,-6.2,5.78,-0.74,979
Paragigantocellular reticular nucleus lateral part,PGRNl,-6.2,6.69,-0.73,993
Intermediate reticular nucleus,IRN,-6.2,5.57,-0.71,979
Medial vestibular nucleus,MV,-6.2,4.58,-0.71,1004
Gigantocellular reticular nucleus,GRN,-6.2,6.2,-0.7,976
Intermediate reticular nucleus,IRN,-6.2,5.69,-0.69,979
Intermediate reticular nucleus,IRN,-6.2,5.45,-0.68,979
Medulla,MY,-6.2,7.02,-0.69,936
Intermediate reticular nucleus,IRN,-6.2,5.63,-0.64,979
Magnocellular reticular nucleus,MARN,-6.2,6.9,-0.61,985
Gigantocellular reticular nucleus,GRN,-6.2,6.38,-0.6,976
Gigantocellular reticular nucleus,GRN,-6.2,6.12,-0.55,976
Intermediate reticular nucleus,IRN,-6.2,5.6,-0.53,979
Gigantocellular reticular nucleus,GRN,-6.2,6.37,-0.49,976
Magnocellular reticular nucleus,MARN,-6.2,6.87,-0.42,985
Paragigantocellular reticular nucleus dorsal part,PGRNd,-6.2,5.38,-0.33,992
Paragigantocellular reticular nucleus dorsal part,PGRNd,-6.2,5.47,-0.31,992
Paragigantocellular reticular nucleus dorsal part,PGRNd,-6.2,5.36,-0.28,992
Gigantocellular reticular nucleus,GRN,-6.2,6.08,-0.25,976
Paragigantocellular reticular nucleus dorsal part,PGRNd,-6.2,5.36,-0.19,992
Nucleus prepositus,PRP,-6.2,4.96,-0.2,997
Paragigantocellular reticular nucleus dorsal part,PGRNd,-6.2,5.31,-0.18,992
Nucleus prepositus,PRP,-6.2,5.24,-0.1,997
Gigantocellular reticular nucleus,GRN,-6.2,5.75,-0.1,976
Nucleus prepositus,PRP,-6.2,5.07,-0.05,997
Nucleus prepositus,PRP,-6.2,5.16,-0.02,997
Nucleus raphe obscurus,RO,-6.2,6.79,0,1014
Nucleus raphe obscurus,RO,-6.2,6.84,-0.01,1014
Nucleus raphe pallidus,RPA,-6.2,6.94,0.02,1013
Gigantocellular reticular nucleus,GRN,-6.2,6.16,0.03,976
Nucleus raphe obscurus,RO,-6.2,6.6,0.03,1014
Nucleus prepositus,PRP,-6.2,5.18,0.09,997
Medulla,MY,-6.2,5.41,0.14,936
Paragigantocellular reticular nucleus dorsal part,PGRNd,-6.2,5.27,0.21,992
Paragigantocellular reticular nucleus dorsal part,PGRNd,-6.2,5.49,0.2,992
Paragigantocellular reticular nucleus dorsal part,PGRNd,-6.2,5.3,0.23,992
Paragigantocellular reticular nucleus dorsal part,PGRNd,-6.2,5.44,0.24,992
Paragigantocellular reticular nucleus dorsal part,PGRNd,-6.2,5.39,0.26,992
Paragigantocellular reticular nucleus dorsal part,PGRNd,-6.2,5.3,0.31,992
Nucleus prepositus,PRP,-6.2,5.13,0.31,997
Paragigantocellular reticular nucleus dorsal part,PGRNd,-6.2,5.36,0.32,992
Magnocellular reticular nucleus,MARN,-6.2,6.67,0.34,985
Magnocellular reticular nucleus,MARN,-6.2,6.72,0.39,985
Paragigantocellular reticular nucleus dorsal part,PGRNd,-6.2,5.33,0.39,992
Magnocellular reticular nucleus,MARN,-6.2,6.91,0.42,985
Gigantocellular reticular nucleus,GRN,-6.2,6.49,0.48,976
Magnocellular reticular nucleus,MARN,-6.2,6.91,0.49,985
Magnocellular reticular nucleus,MARN,-6.2,6.95,0.56,985
Magnocellular reticular nucleus,MARN,-6.2,6.85,0.59,985
Intermediate reticular nucleus,IRN,-6.2,5.66,0.63,979
Gigantocellular reticular nucleus,GRN,-6.2,6.77,0.63,976
Intermediate reticular nucleus,IRN,-6.2,5.58,0.65,979
Intermediate reticular nucleus,IRN,-6.2,5.62,0.66,979
Magnocellular reticular nucleus,MARN,-6.2,6.84,0.65,985
Medulla,MY,-6.2,7.02,0.69,936
Intermediate reticular nucleus,IRN,-6.2,5.55,0.71,979
Intermediate reticular nucleus,IRN,-6.2,5.68,0.7,979
Intermediate reticular nucleus,IRN,-6.2,5.74,0.71,979
Gigantocellular reticular nucleus,GRN,-6.2,6.33,0.73,976
Intermediate reticular nucleus,IRN,-6.2,5.46,0.74,979
Intermediate reticular nucleus,IRN,-6.2,5.76,0.76,979
Gigantocellular reticular nucleus,GRN,-6.2,6.43,0.74,976
Intermediate reticular nucleus,IRN,-6.2,5.65,0.77,979
Intermediate reticular nucleus,IRN,-6.2,5.96,0.75,979
Paragigantocellular reticular nucleus lateral part,PGRNl,-6.2,6.74,0.75,993
Medulla,MY,-6.2,7.1,0.74,936
Medulla,MY,-6.2,6.99,0.77,936
Intermediate reticular nucleus,IRN,-6.2,5.51,0.8,979
Intermediate reticular nucleus,IRN,-6.2,5.39,0.81,979
Intermediate reticular nucleus,IRN,-6.2,5.88,0.81,979
Intermediate reticular nucleus,IRN,-6.2,5.38,0.85,979
Intermediate reticular nucleus,IRN,-6.2,5.77,0.86,979
Paragigantocellular reticular nucleus lateral part,PGRNl,-6.2,6.8,0.85,993
Paragigantocellular reticular nucleus lateral part,PGRNl,-6.2,6.85,0.86,993
Intermediate reticular nucleus,IRN,-6.2,5.55,0.87,979
Nucleus of the solitary tract,NTS,-6.2,5.36,0.88,949
Intermediate reticular nucleus,IRN,-6.2,5.51,0.88,979
Paragigantocellular reticular nucleus lateral part,PGRNl,-6.2,6.96,0.89,993
Intermediate reticular nucleus,IRN,-6.2,5.48,0.91,979
Medial vestibular nucleus,MV,-6.2,4.83,0.93,1004
Paragigantocellular reticular nucleus lateral part,PGRNl,-6.2,6.84,0.93,993
Nucleus of the solitary tract,NTS,-6.2,5.41,0.96,949
Intermediate reticular nucleus,IRN,-6.2,6.35,0.96,979
Intermediate reticular nucleus,IRN,-6.2,5.75,0.97,979
Medial vestibular nucleus,MV,-6.2,5.11,0.99,1004
Parvicellular reticular nucleus,PARN,-6.2,5.48,0.98,989
Parvicellular reticular nucleus,PARN,-6.2,5.55,0.99,989
Intermediate reticular nucleus,IRN,-6.2,5.97,0.98,979
Parvicellular reticular nucleus,PARN,-6.2,5.59,1.02,989
Intermediate reticular nucleus,IRN,-6.2,5.67,1.03,979
Parvicellular reticular nucleus,PARN,-6.2,5.5,1.05,989
Intermediate reticular nucleus,IRN,-6.2,6.59,1.06,979
Intermediate reticular nucleus,IRN,-6.2,6.23,1.08,979
Intermediate reticular nucleus,IRN,-6.2,5.86,1.08,979
Intermediate reticular nucleus,IRN,-6.2,6,1.09,979
Parvicellular reticular nucleus,PARN,-6.2,5.61,1.1,989
Intermediate reticular nucleus,IRN,-6.2,6.07,1.1,979
Parvicellular reticular nucleus,PARN,-6.2,5.48,1.11,989
Intermediate reticular nucleus,IRN,-6.2,6.48,1.11,979
Intermediate reticular nucleus,IRN,-6.2,5.88,1.12,979
Parvicellular reticular nucleus,PARN,-6.2,5.63,1.13,989
Parvicellular reticular nucleus,PARN,-6.2,5.67,1.13,989
Parvicellular reticular nucleus,PARN,-6.2,5.73,1.14,989
Intermediate reticular nucleus,IRN,-6.2,6.14,1.14,979
Intermediate reticular nucleus,IRN,-6.2,6.08,1.16,979
Nucleus of the solitary tract,NTS,-6.2,5.42,1.17,949
Parvicellular reticular nucleus,PARN,-6.2,5.91,1.17,989
Parvicellular reticular nucleus,PARN,-6.2,5.47,1.18,989
Parvicellular reticular nucleus,PARN,-6.2,5.62,1.18,989
Paragigantocellular reticular nucleus lateral part,PGRNl,-6.2,6.78,1.24,993
Intermediate reticular nucleus,IRN,-6.2,6.34,1.25,979
Intermediate reticular nucleus,IRN,-6.2,6.11,1.26,979
Parvicellular reticular nucleus,PARN,-6.2,5.68,1.27,989
Parvicellular reticular nucleus,PARN,-6.2,6.05,1.28,989
Intermediate reticular nucleus,IRN,-6.2,6.27,1.3,979
Nucleus of the solitary tract,NTS,-6.2,5.35,1.31,949
Intermediate reticular nucleus,IRN,-6.2,6.42,1.32,979
Intermediate reticular nucleus,IRN,-6.2,6.32,1.36,979
Parvicellular reticular nucleus,PARN,-6.2,5.67,1.39,989
Parvicellular reticular nucleus,PARN,-6.2,6.35,1.41,989
Parvicellular reticular nucleus,PARN,-6.2,6.46,1.47,989
Parvicellular reticular nucleus,PARN,-6.2,6.33,1.52,989
Spinal nucleus of the trigeminal oral part,SPVO,-6.2,5.43,1.63,957
Spinal nucleus of the trigeminal oral part,SPVO,-6.2,5.42,1.68,957
Interposed nucleus,IP,-6.2,4.01,2.25,1099
Parvicellular reticular nucleus,PARN,-6.28,6.06,-1.67,989
Parvicellular reticular nucleus,PARN,-6.28,5.96,-1.54,989
Spinal nucleus of the trigeminal interpolar part,SPVI,-6.28,5.5,-1.53,956
Parvicellular reticular nucleus,PARN,-6.28,6.19,-1.53,989
Parvicellular reticular nucleus,PARN,-6.28,6.48,-1.49,989
Nucleus of the solitary tract,NTS,-6.28,5.42,-1.48,949
Parvicellular reticular nucleus,PARN,-6.28,6.54,-1.48,989
Paragigantocellular reticular nucleus lateral part,PGRNl,-6.28,6.7,-1.48,993
Spinal nucleus of the trigeminal interpolar part,SPVI,-6.28,5.5,-1.46,956
Nucleus of the solitary tract,NTS,-6.28,5.31,-1.43,949
Nucleus ambiguus dorsal division,AMBd,-6.28,6.5,-1.43,972
Nucleus ambiguus dorsal division,AMBd,-6.28,6.53,-1.43,972
Parvicellular reticular nucleus,PARN,-6.28,6.43,-1.43,989
Parvicellular reticular nucleus,PARN,-6.28,5.88,-1.36,989
Intermediate reticular nucleus,IRN,-6.28,6.29,-1.33,979
Nucleus of the solitary tract,NTS,-6.28,5.3,-1.32,949
Intermediate reticular nucleus,IRN,-6.28,6.46,-1.31,979
Nucleus of the solitary tract,NTS,-6.28,5.42,-1.29,949
Intermediate reticular nucleus,IRN,-6.28,6.53,-1.29,979
Intermediate reticular nucleus,IRN,-6.28,6.39,-1.27,979
Intermediate reticular nucleus,IRN,-6.28,6.21,-1.26,979
Intermediate reticular nucleus,IRN,-6.28,6.48,-1.25,979
Paragigantocellular reticular nucleus lateral part,PGRNl,-6.28,7.07,-1.26,993
Nucleus of the solitary tract,NTS,-6.28,5.48,-1.24,949
Parvicellular reticular nucleus,PARN,-6.28,5.96,-1.24,989
Intermediate reticular nucleus,IRN,-6.28,6.11,-1.24,979
Intermediate reticular nucleus,IRN,-6.28,6.27,-1.23,979
Intermediate reticular nucleus,IRN,-6.28,6.21,-1.21,979
Paragigantocellular reticular nucleus lateral part,PGRNl,-6.28,7.1,-1.21,993
Parvicellular reticular nucleus,PARN,-6.28,5.61,-1.17,989
Parvicellular reticular nucleus,PARN,-6.28,5.84,-1.17,989
Intermediate reticular nucleus,IRN,-6.28,6.35,-1.17,979
Intermediate reticular nucleus,IRN,-6.28,6.01,-1.16,979
Parvicellular reticular nucleus,PARN,-6.28,5.8,-1.15,989
Parvicellular reticular nucleus,PARN,-6.28,5.88,-1.15,989
Intermediate reticular nucleus,IRN,-6.28,6.15,-1.15,979
Intermediate reticular nucleus,IRN,-6.28,5.94,-1.14,979
Intermediate reticular nucleus,IRN,-6.28,6.47,-1.15,979
Spinal vestibular nucleus,SPIV,-6.28,5.15,-1.13,1005
Nucleus of the solitary tract,NTS,-6.28,5.42,-1.11,949
Parvicellular reticular nucleus,PARN,-6.28,5.56,-1.1,989
Intermediate reticular nucleus,IRN,-6.28,5.83,-1.09,979
Parvicellular reticular nucleus,PARN,-6.28,5.75,-1.08,989
Intermediate reticular nucleus,IRN,-6.28,6.25,-1.08,979
Parvicellular reticular nucleus,PARN,-6.28,5.57,-1.06,989
Parvicellular reticular nucleus,PARN,-6.28,5.66,-1.05,989
Intermediate reticular nucleus,IRN,-6.28,5.92,-1.05,979
Intermediate reticular nucleus,IRN,-6.28,6.15,-1.04,979
Intermediate reticular nucleus,IRN,-6.28,6.49,-1.05,979
Paragigantocellular reticular nucleus lateral part,PGRNl,-6.28,6.93,-1.05,993
Intermediate reticular nucleus,IRN,-6.28,5.75,-1.04,979
Intermediate reticular nucleus,IRN,-6.28,6.02,-1.04,979
Intermediate reticular nucleus,IRN,-6.28,6.27,-1.04,979
Intermediate reticular nucleus,IRN,-6.28,6.07,-1.03,979
Paragigantocellular reticular nucleus lateral part,PGRNl,-6.28,6.96,-1.02,993
Paragigantocellular reticular nucleus lateral part,PGRNl,-6.28,7.08,-1.03,993
Parvicellular reticular nucleus,PARN,-6.28,5.57,-1.01,989
Intermediate reticular nucleus,IRN,-6.28,5.8,-1.01,979
Intermediate reticular nucleus,IRN,-6.28,6.55,-1.01,979
Paragigantocellular reticular nucleus lateral part,PGRNl,-6.28,6.74,-1.01,993
Intermediate reticular nucleus,IRN,-6.28,5.87,-1,979
Intermediate reticular nucleus,IRN,-6.28,6.11,-1,979
Intermediate reticular nucleus,IRN,-6.28,5.92,-0.99,979
Intermediate reticular nucleus,IRN,-6.28,6.52,-0.99,979
Intermediate reticular nucleus,IRN,-6.28,5.62,-0.98,979
Medial vestibular nucleus,MV,-6.28,4.89,-0.97,1004
Intermediate reticular nucleus,IRN,-6.28,5.78,-0.97,979
Intermediate reticular nucleus,IRN,-6.28,5.67,-0.95,979
Parvicellular reticular nucleus,PARN,-6.28,5.49,-0.95,989
Intermediate reticular nucleus,IRN,-6.28,5.73,-0.94,979
Paragigantocellular reticular nucleus lateral part,PGRNl,-6.28,6.97,-0.95,993
Intermediate reticular nucleus,IRN,-6.28,5.88,-0.93,979
Nucleus of the solitary tract,NTS,-6.28,5.41,-0.92,949
Intermediate reticular nucleus,IRN,-6.28,5.59,-0.91,979
Intermediate reticular nucleus,IRN,-6.28,6.19,-0.9,979
Intermediate reticular nucleus,IRN,-6.28,6.25,-0.89,979
Paragigantocellular reticular nucleus lateral part,PGRNl,-6.28,6.81,-0.88,993
Intermediate reticular nucleus,IRN,-6.28,5.66,-0.87,979
Intermediate reticular nucleus,IRN,-6.28,5.48,-0.85,979
Gigantocellular reticular nucleus,GRN,-6.28,6.6,-0.87,976
Intermediate reticular nucleus,IRN,-6.28,5.6,-0.86,979
Intermediate reticular nucleus,IRN,-6.28,5.81,-0.85,979
Intermediate reticular nucleus,IRN,-6.28,6.13,-0.85,979
Intermediate reticular nucleus,IRN,-6.28,5.42,-0.81,979
Intermediate reticular nucleus,IRN,-6.28,5.54,-0.83,979
Gigantocellular reticular nucleus,GRN,-6.28,6.51,-0.84,976
Paragigantocellular reticular nucleus lateral part,PGRNl,-6.28,6.87,-0.84,993
